id,timestamp,temperature,humidity,precipitation,wind_speed,weather_code,description
11121,2026-03-06 01:41:00+00,12.8,75,0,2.2,2,partly cloudy
11122,2026-03-06 01:42:00+00,12.8,75,0,2.2,2,partly cloudy
11123,2026-03-06 01:43:00+00,12.9,75,0,2.2,2,partly cloudy
11124,2026-03-06 01:44:00+00,12.9,75,0,2.2,2,partly cloudy
11125,2026-03-06 01:45:00+00,12.8,76,0,1.8,2,partly cloudy
11126,2026-03-06 01:46:00+00,12.8,76,0,1.8,2,partly cloudy
11127,2026-03-06 01:48:00+00,12.8,76,0,1.8,2,partly cloudy
11128,2026-03-06 01:49:00+00,12.8,76,0,1.4,2,partly cloudy
11129,2026-03-06 01:50:00+00,12.8,76,0,1.4,2,partly cloudy
11130,2026-03-06 01:51:00+00,12.8,76,0,1.4,2,partly cloudy
11131,2026-03-06 01:52:00+00,12.8,76,0,1.4,2,partly cloudy
11132,2026-03-06 01:53:00+00,12.8,76,0,1.4,2,partly cloudy
11133,2026-03-06 01:54:00+00,12.8,76,0,1.4,2,partly cloudy
11134,2026-03-06 01:55:00+00,12.8,76,0,1.4,2,partly cloudy
11135,2026-03-06 01:56:00+00,12.8,76,0,1.4,2,partly cloudy
11136,2026-03-06 01:57:00+00,12.8,76,0,1.4,2,partly cloudy
11137,2026-03-06 01:58:00+00,12.8,76,0,1.4,2,partly cloudy
11138,2026-03-06 01:59:00+00,12.8,76,0,1.4,2,partly cloudy
11139,2026-03-06 02:00:00+00,12.8,76,0,1.4,2,partly cloudy
11140,2026-03-06 02:01:00+00,12.8,76,0,1.4,2,partly cloudy
11141,2026-03-06 02:02:00+00,12.8,76,0,1.4,2,partly cloudy
11142,2026-03-06 02:04:00+00,12.8,76,0,1.4,2,partly cloudy
11143,2026-03-06 02:05:00+00,12.8,76,0,1.4,2,partly cloudy
11144,2026-03-06 02:06:00+00,12.8,76,0,1.4,2,partly cloudy
11145,2026-03-06 02:07:00+00,12.8,76,0,1.4,2,partly cloudy
11146,2026-03-06 02:08:00+00,12.8,76,0,1.4,2,partly cloudy
11147,2026-03-06 02:09:00+00,12.8,76,0,1.4,2,partly cloudy
11148,2026-03-06 02:10:00+00,12.8,76,0,1.4,2,partly cloudy
11149,2026-03-06 02:11:00+00,12.8,76,0,1.4,2,partly cloudy
11150,2026-03-06 02:12:00+00,12.8,76,0,1.4,2,partly cloudy
11151,2026-03-06 02:13:00+00,12.8,76,0,1.4,2,partly cloudy
11152,2026-03-06 02:14:00+00,12.8,76,0,1.4,2,partly cloudy
11153,2026-03-06 02:15:00+00,12.6,77,0,1.8,1,mainly clear
11154,2026-03-06 02:16:00+00,12.6,77,0,1.8,1,mainly clear
11155,2026-03-06 02:17:00+00,12.6,77,0,1.8,1,mainly clear
11156,2026-03-06 02:19:00+00,12.6,77,0,1.8,1,mainly clear
11157,2026-03-06 02:20:00+00,12.6,77,0,1.8,1,mainly clear
11158,2026-03-06 02:21:00+00,12.6,77,0,1.8,1,mainly clear
11159,2026-03-06 02:22:00+00,12.6,77,0,1.8,2,partly cloudy
11160,2026-03-06 02:23:00+00,12.6,76,0,1.8,2,partly cloudy
11161,2026-03-06 02:24:00+00,12.6,76,0,1.8,2,partly cloudy
11162,2026-03-06 02:25:00+00,12.6,76,0,1.8,2,partly cloudy
11163,2026-03-06 02:26:00+00,12.6,76,0,1.8,2,partly cloudy
11164,2026-03-06 02:27:00+00,12.4,76,0,1.8,2,partly cloudy
11165,2026-03-06 02:28:00+00,12.4,76,0,3.2,2,partly cloudy
11166,2026-03-06 02:29:00+00,12.4,76,0,3.2,2,partly cloudy
11167,2026-03-06 02:30:00+00,12.3,77,0,4,2,partly cloudy
11168,2026-03-06 02:31:00+00,12.3,77,0,4,2,partly cloudy
11169,2026-03-06 02:32:00+00,12.3,77,0,4,2,partly cloudy
11170,2026-03-06 02:34:00+00,12.3,77,0,4,2,partly cloudy
11171,2026-03-06 02:35:00+00,12.3,77,0,4,2,partly cloudy
11172,2026-03-06 02:36:00+00,12.3,77,0,4,2,partly cloudy
11173,2026-03-06 02:37:00+00,12.3,77,0,4,2,partly cloudy
11174,2026-03-06 02:38:00+00,12.3,77,0,4,2,partly cloudy
11175,2026-03-06 02:39:00+00,12.3,77,0,4,2,partly cloudy
11176,2026-03-06 02:40:00+00,12.3,77,0,4,2,partly cloudy
11177,2026-03-06 02:41:00+00,12.3,77,0,4,2,partly cloudy
11178,2026-03-06 02:42:00+00,12.3,77,0,4,2,partly cloudy
11179,2026-03-06 02:43:00+00,12.3,77,0,4,2,partly cloudy
11180,2026-03-06 02:44:00+00,12.3,77,0,4,2,partly cloudy
11181,2026-03-06 02:45:00+00,12.3,78,0,4.3,2,partly cloudy
11182,2026-03-06 02:46:00+00,12.3,78,0,4.3,2,partly cloudy
11183,2026-03-06 02:47:00+00,12.3,78,0,4.3,2,partly cloudy
11184,2026-03-06 02:49:00+00,12.3,78,0,4.3,2,partly cloudy
11185,2026-03-06 02:50:00+00,12.3,78,0,4.3,2,partly cloudy
11186,2026-03-06 02:51:00+00,12.3,78,0,4.3,2,partly cloudy
11187,2026-03-06 02:52:00+00,12.3,78,0,4.3,2,partly cloudy
11188,2026-03-06 02:53:00+00,12.3,78,0,4.3,2,partly cloudy
11189,2026-03-06 02:54:00+00,12.3,78,0,4.3,2,partly cloudy
11190,2026-03-06 02:55:00+00,12.3,78,0,4.3,2,partly cloudy
11191,2026-03-06 02:56:00+00,12.3,78,0,4.3,2,partly cloudy
11192,2026-03-06 02:57:00+00,12.3,78,0,4.3,2,partly cloudy
11193,2026-03-06 02:58:00+00,12.3,78,0,4.3,2,partly cloudy
11194,2026-03-06 02:59:00+00,12.3,78,0,4.3,2,partly cloudy
11195,2026-03-06 03:00:00+00,12.2,78,0,4.7,1,mainly clear
11196,2026-03-06 03:01:00+00,12.2,78,0,4.7,1,mainly clear
11197,2026-03-06 03:02:00+00,12.2,78,0,4.7,1,mainly clear
11198,2026-03-06 03:04:00+00,12.2,78,0,4.7,1,mainly clear
11199,2026-03-06 03:05:00+00,12.2,78,0,4.7,1,mainly clear
11200,2026-03-06 03:06:00+00,12.2,78,0,4.7,1,mainly clear
11201,2026-03-06 03:07:00+00,12.2,78,0,4.7,1,mainly clear
11202,2026-03-06 03:08:00+00,12.2,78,0,4.7,1,mainly clear
11203,2026-03-06 03:09:00+00,12.2,78,0,4.7,1,mainly clear
11204,2026-03-06 03:10:00+00,12.2,78,0,4.7,1,mainly clear
11205,2026-03-06 03:11:00+00,12.2,78,0,4.7,1,mainly clear
11206,2026-03-06 03:12:00+00,12.2,78,0,4.7,1,mainly clear
11207,2026-03-06 03:13:00+00,12.2,78,0,4.7,1,mainly clear
11208,2026-03-06 03:14:00+00,12.2,78,0,4.7,1,mainly clear
11209,2026-03-06 03:15:00+00,12.1,79,0,4.7,2,partly cloudy
11210,2026-03-06 03:16:00+00,12.1,79,0,4.7,2,partly cloudy
11211,2026-03-06 03:17:00+00,12.1,79,0,4.7,2,partly cloudy
11212,2026-03-06 03:19:00+00,12.1,79,0,4.7,2,partly cloudy
11213,2026-03-06 03:20:00+00,12.1,79,0,4.7,2,partly cloudy
11214,2026-03-06 03:21:00+00,12.1,79,0,4.7,2,partly cloudy
11215,2026-03-06 03:22:00+00,12.1,79,0,4.7,2,partly cloudy
11216,2026-03-06 03:23:00+00,12.1,79,0,4.7,3,overcast
11217,2026-03-06 03:24:00+00,11.7,79,0,4.7,3,overcast
11218,2026-03-06 03:25:00+00,11.7,79,0,5,3,overcast
11219,2026-03-06 03:26:00+00,11.7,79,0,5,3,overcast
11220,2026-03-06 03:27:00+00,11.7,79,0,5,3,overcast
11221,2026-03-06 03:28:00+00,11.7,79,0,5,3,overcast
11222,2026-03-06 03:29:00+00,11.7,79,0,5,3,overcast
11223,2026-03-06 03:30:00+00,11.6,80,0,4.7,3,overcast
11224,2026-03-06 03:31:00+00,11.6,80,0,4.7,3,overcast
11225,2026-03-06 03:32:00+00,11.6,80,0,4.7,3,overcast
11226,2026-03-06 03:34:00+00,11.6,80,0,4.7,3,overcast
11227,2026-03-06 03:35:00+00,11.6,80,0,4.7,3,overcast
11228,2026-03-06 03:36:00+00,11.6,80,0,4.7,3,overcast
11229,2026-03-06 03:37:00+00,11.6,80,0,4.7,3,overcast
11230,2026-03-06 03:38:00+00,11.6,80,0,4.7,3,overcast
11231,2026-03-06 03:39:00+00,11.6,80,0,4.7,3,overcast
11232,2026-03-06 03:40:00+00,11.6,80,0,4.7,3,overcast
11233,2026-03-06 03:41:00+00,11.6,80,0,4.7,3,overcast
11234,2026-03-06 03:42:00+00,11.6,80,0,4.7,3,overcast
11235,2026-03-06 03:43:00+00,11.6,80,0,4.7,3,overcast
11236,2026-03-06 03:44:00+00,11.6,80,0,4.7,3,overcast
11237,2026-03-06 03:45:00+00,11.5,80,0,4.3,3,overcast
11238,2026-03-06 03:46:00+00,11.5,80,0,4.3,3,overcast
11239,2026-03-06 03:47:00+00,11.5,80,0,4.3,3,overcast
11240,2026-03-06 03:49:00+00,11.5,80,0,4.3,3,overcast
11241,2026-03-06 03:50:00+00,11.5,80,0,4.3,3,overcast
11242,2026-03-06 03:51:00+00,11.5,80,0,4.3,3,overcast
11243,2026-03-06 03:52:00+00,11.5,80,0,4.3,3,overcast
11244,2026-03-06 03:53:00+00,11.5,80,0,4.3,3,overcast
11245,2026-03-06 03:54:00+00,11.5,80,0,4.3,3,overcast
11246,2026-03-06 03:55:00+00,11.5,80,0,4.3,3,overcast
11247,2026-03-06 03:56:00+00,11.5,80,0,4.3,3,overcast
11248,2026-03-06 03:57:00+00,11.5,80,0,4.3,3,overcast
11249,2026-03-06 03:58:00+00,11.5,80,0,4.3,3,overcast
11250,2026-03-06 03:59:00+00,11.5,80,0,4.3,3,overcast
11251,2026-03-06 04:00:00+00,11.4,81,0,4,3,overcast
11252,2026-03-06 04:01:00+00,11.4,81,0,4,3,overcast
11253,2026-03-06 04:02:00+00,11.4,81,0,4,3,overcast
11254,2026-03-06 04:04:00+00,11.4,81,0,4,3,overcast
11255,2026-03-06 04:05:00+00,11.4,81,0,4,3,overcast
11256,2026-03-06 04:06:00+00,11.4,81,0,4,3,overcast
11257,2026-03-06 04:07:00+00,11.4,81,0,4,3,overcast
11258,2026-03-06 04:08:00+00,11.4,81,0,4,3,overcast
11259,2026-03-06 04:09:00+00,11.4,81,0,4,3,overcast
11260,2026-03-06 04:10:00+00,11.4,81,0,4,3,overcast
11261,2026-03-06 04:11:00+00,11.4,81,0,4,3,overcast
11262,2026-03-06 04:12:00+00,11.4,81,0,4,3,overcast
11263,2026-03-06 04:13:00+00,11.4,81,0,4,3,overcast
11264,2026-03-06 04:14:00+00,11.4,81,0,4,3,overcast
11265,2026-03-06 04:15:00+00,11.4,81,0,4.3,3,overcast
11266,2026-03-06 04:16:00+00,11.4,81,0,4.3,3,overcast
11267,2026-03-06 04:17:00+00,11.4,81,0,4.3,3,overcast
11268,2026-03-06 04:19:00+00,11.4,81,0,4.3,3,overcast
11269,2026-03-06 04:20:00+00,11.4,81,0,4.3,3,overcast
11270,2026-03-06 04:21:00+00,11.4,81,0,4.3,3,overcast
11271,2026-03-06 04:22:00+00,11.4,81,0,4.3,3,overcast
11272,2026-03-06 04:23:00+00,11.4,81,0,4.3,3,overcast
11273,2026-03-06 04:24:00+00,11.4,81,0,4.3,3,overcast
11274,2026-03-06 04:25:00+00,11.4,81,0,4.3,3,overcast
11275,2026-03-06 04:26:00+00,11.4,81,0,4.3,3,overcast
11276,2026-03-06 04:27:00+00,11.4,81,0,4.3,3,overcast
11277,2026-03-06 04:28:00+00,11.4,81,0,4.3,3,overcast
